seed,gap_10
0,0.01198341461424
1,-0.0032130372443979
2,0.037372884963625
3,-0.0142642796805346
4,-0.0097685782595995
5,-0.0288927997113321
6,-0.0367405917009463
7,0.0191113053287342
8,-0.0236656104906983
9,-0.0128831453570881
10,-0.0007604887705971
11,-0.0132018346660824
12,-0.0117797558508127
13,-0.0011604037204251
14,0.0297789656613037
15,-0.003838417636069
16,-0.0101392690367357
17,-0.0175035789843829
18,0.0112402277321637
19,0.0211843238088095
20,0.0089908509703221
21,-0.0054378131078705
22,-0.0055589320548455
23,0.0314918190993541
24,-0.0003735572166675
25,0.0341634272261157
26,0.012649397347237
27,-0.0261840210490154
28,0.0111774899878814
29,0.0001437080714287
30,0.0213845108152443
31,-0.000792023656209
32,0.0064407774801309
33,0.0280726871691283
34,-0.0117894873186278
35,0.0105816593314311
36,0.0006781997885265
37,-0.001692205211905
38,0.0287347367299957
39,0.0137684213499728
40,-0.0135848423934658
41,0.0145876282657463
42,-0.0053734210569617
43,0.0181837728227355
44,0.0292311696384276
45,0.005083790998928
46,-0.0266676210728988
47,-0.0193412749397435
48,0.0229281424943467
49,0.0112264606984969
50,-0.0113059031880038
51,-0.0228779307354495
52,0.0417565234511637
53,-0.0001794778233561
54,-0.0053603824940345
55,0.0187207015719269
56,-0.0026223824255311
57,-0.0023978215953933
58,-0.012825548357148
59,-0.0391936693273615
60,-0.0042235255080783
61,-0.028042103762537
62,-0.0049963654010127
63,0.0079625018575996
64,0.0106449921900531
65,0.0084157118273665
66,0.0057701746285079
67,-0.0111732242905469
68,-0.0246695225444404
69,-0.0066348084415995
70,-0.0060851710641905
71,-0.0092731495368059
72,-0.0147538622353124
73,-0.0084430611270796
74,0.0157858483787081
75,0.0020348288560084
76,0.0021362318809439
77,-0.0386290601494137
78,-0.0559920774117749
79,0.0148994250886271
80,0.0133252374183968
81,0.0161633206618272
82,-0.0257665798309012
83,0.0076589885224552
84,0.0135111088667055
85,-0.0019003758367063
86,0.0024373817951507
87,0.0025812565377582
88,-0.07537309725643
89,0.0062239528153593
90,-0.0363754412494812
91,0.0138917187097944
92,-0.0142504329103511
93,-0.0042651005225292
94,0.0057572933726763
95,-0.0097146489486085
96,0.0140238185840958
97,-0.0073156741435686
98,0.0076547098851089
