openmlid,target_type,epsilon,w_min,delta,c,bootstrap_repeats,seed,num_trees,reasoning_time_per_tree_in_ns,score_oob,score_val,gap_oob,gap_val,time_train,time_pred,time_score
28,oob,0.01,100,100,100,0,4.666666666666667,276.6666666666667,4.555555555555555,0.1113444444444444,0.0786666666666666,0.0287777777777777,0.0016333333333333,1662973.888888889,200565.66666666663,43006.333333333336
28,oob,0.1,3,3,10,0,4.666666666666667,14.0,58.888888888888886,0.2651666666666666,0.1087888888888888,0.1825999999999999,0.0317555555555555,84152.44444444444,10149.222222222224,2176.222222222222
30,oob,0.001,100,100,100000,0,4.5,2831.4,2.0,0.04484,0.04118,0.0013999999999999,3.100000000000001e-05,18976782.33,1478484.81,343221.12
30,oob,0.01,100,100,100,0,4.5,229.0,4.7,0.06009,0.04127,0.01665,0.0001209999999999,1534944.1,119572.3,27757.1
30,oob,0.1,3,3,10,0,4.5,13.8,59.1,0.17718,0.04875,0.13374,0.0076009999999999,92510.56,7206.1,1673.08
31,oob,0.001,100,100,100000,0,4.5,3405.6,2.0,0.33013,0.32892,0.001947,1.5000000000000022e-05,5339277.9,1138971.24,136755.63
31,oob,0.01,100,100,100,0,4.5,247.0,4.5,0.3503,0.33174,0.022117,0.002835,386876.1,82538.4,9910.7
31,oob,0.1,3,3,10,0,4.5,13.0,58.4,0.49161,0.3636899999999999,0.163427,0.0347849999999999,20373.52,4347.12,521.6600000000001
32,oob,0.001,100,100,100000,0,4.5,3593.7,2.0,0.0333899999999999,0.0274999999999999,0.00202,2.1e-05,36484338.33,3378691.8,973662.03
32,oob,0.01,100,100,100,0,4.5,243.0,4.5,0.05298,0.02816,0.02161,0.000681,2467075.8,228466.7,65841.5
32,oob,0.1,3,3,10,0,4.5,13.4,58.3,0.1868,0.0435,0.15543,0.016021,136050.74,12601.16,3631.36
33,oob,0.001,100,100,100000,0,4.888888888888889,3894.0,2.0,0.2964444444444444,0.2926333333333333,0.0022555555555555,0.0001688888888888,5932577.199999999,1352945.0,126494.5
33,oob,0.01,100,100,100,0,4.888888888888889,262.22222222222223,4.444444444444445,0.3185,0.2929555555555556,0.0243111111111111,0.0004911111111111,399328.77777777775,91100.33333333331,8511.111111111111
33,oob,0.1,3,3,10,0,4.888888888888889,13.11111111111111,57.44444444444444,0.4707555555555555,0.3266666666666666,0.1765666666666666,0.0342022222222222,19960.533333333333,4554.977777777778,425.5111111111111
36,oob,0.001,100,100,100000,0,5.0,3190.0,2.0,0.0461111111111111,0.0405666666666666,0.0020222222222222,1.1111111111111157e-06,9434459.1,1207537.1,226882.7
36,oob,0.01,100,100,100,0,5.0,240.0,4.444444444444445,0.0643888888888888,0.0408444444444444,0.0203,0.0002788888888888,709897.3333333334,90852.0,17073.88888888889
36,oob,0.1,3,3,10,0,5.0,13.77777777777778,57.77777777777778,0.1932888888888889,0.0533111111111111,0.1492,0.0127455555555555,40750.333333333336,5215.4222222222215,980.0888888888888
38,oob,0.001,100,100,100000,0,4.5,2910.6,2.0,0.02863,0.02572,0.0016799999999999,6.2e-05,6429109.5,1341652.95,226102.14
38,oob,0.01,100,100,100,0,4.5,232.0,4.2,0.0449699999999999,0.0259,0.01802,0.0002419999999999,512255.5,106917.5,18019.6
38,oob,0.1,3,3,10,0,4.5,13.6,57.7,0.1672499999999999,0.03456,0.1403,0.008902,30023.2,6267.22,1056.1799999999998
44,oob,0.001,100,100,100000,0,4.777777777777778,3388.0,2.0,0.0843777777777777,0.0796777777777777,0.0018777777777777,-2.8888888888888885e-05,15467262.8,1815684.2,305559.1
44,oob,0.01,100,100,100,0,4.777777777777778,242.22222222222223,4.666666666666667,0.1031666666666666,0.0808666666666666,0.0206666666666666,0.00116,1106126.6666666667,129828.66666666669,21848.0
44,oob,0.1,3,3,10,0,4.777777777777778,13.77777777777778,59.44444444444444,0.2343222222222222,0.0977777777777777,0.1518222222222222,0.0180711111111111,62924.333333333336,7384.844444444445,1242.8444444444444
46,oob,0.001,100,100,100000,0,4.111111111111111,4422.0,2.0,0.1319888888888888,0.1190666666666666,0.0032888888888888,2.111111111111109e-05,15529081.7,3002524.8,346871.80000000005
46,oob,0.01,100,100,100,0,4.111111111111111,281.1111111111111,4.333333333333333,0.158,0.1207444444444444,0.0293,0.0016988888888888,987015.5555555556,190802.44444444444,22055.444444444445
46,oob,0.1,3,3,10,0,4.111111111111111,14.0,57.66666666666666,0.3122333333333333,0.1560333333333333,0.1835333333333333,0.0369877777777777,49154.31111111111,9501.022222222222,1098.3777777777775
54,oob,0.001,100,100,100000,0,3.7142857142857135,3493.285714285714,2.0,0.3058285714285714,0.3093714285714286,0.0019657142857142,0.0002199999999999,6090796.8,1085858.8714285714,135603.12857142856
54,oob,0.01,100,100,100,0,3.7142857142857135,262.85714285714283,4.571428571428571,0.3261,0.3125,0.0222371428571428,0.0033485714285714,458433.4285714286,81700.28571428571,10196.714285714286
54,oob,0.1,3,3,10,0,3.7142857142857135,12.857142857142858,58.85714285714285,0.4760285714285714,0.3478857142857143,0.1721657142857142,0.0387342857142857,22420.6,3996.114285714285,498.88571428571424
57,oob,0.001,100,100,100000,0,5.0,3003.0,2.0,0.0187,0.0145222222222222,0.0017,2.222222222222222e-06,6391287.1,1374155.2000000002,258773.9
57,oob,0.01,100,100,100,0,5.0,231.11111111111111,4.333333333333333,0.0352,0.0146,0.0182,8e-05,491739.1111111111,105746.11111111112,19914.666666666668
57,oob,0.1,3,3,10,0,5.0,13.555555555555555,57.55555555555556,0.1593777777777777,0.0226333333333333,0.1423777777777778,0.0081133333333333,28843.0,6202.044444444445,1167.9555555555555
60,oob,0.001,100,100,100000,0,4.5,4088.7,2.0,0.23842,0.23345,0.00292,0.000167,50912168.67,2278035.54,407427.57
