openmlid,target_type,epsilon,w_min,delta,c,bootstrap_repeats,seed,num_trees,reasoning_time_per_tree_in_ns,score_oob,score_val,gap_oob,gap_val,time_train,time_pred,time_score
287,oob,0.1,2,2,10,0,4.5,5.0,127.2,0.0744925999999999,0.018215,0.064054,0.007983,99836.5,2806.9,495.35
308,oob,0.001,100,100,1000,0,4.5,1314.0,12.1,0.0091807,0.0075918,0.001423,9e-06,134044827.0,996216.5,163401.7
308,oob,0.01,10,10,100,0,4.5,98.1,14.8,0.018524,0.0077006,0.010767,0.000118,10007253.09,74373.66,12193.47
308,oob,0.1,2,2,10,0,4.5,6.6,125.8,0.0806559,0.0144183,0.072899,0.006836,673345.15,5004.07,820.4
315,oob,0.001,100,100,1000,0,4.5,768.0,11.6,0.0197763,0.0194405,0.000811,5.999999999999998e-06,51662406.4,933802.6,64776.0
315,oob,0.01,10,10,100,0,4.5,58.5,16.3,0.0247699,0.0198236,0.005806,0.000388,3933723.24,71261.91,4935.87
315,oob,0.1,2,2,10,0,4.5,3.5,138.5,0.0572441,0.0289524,0.038279,0.009517,235132.03,4254.83,295.36
344,oob,0.001,100,100,1000,0,4.5,1313.0,12.0,0.0016606,8.2e-06,0.001406,0.0,180928793.50000003,3587830.6,458705.1
344,oob,0.01,10,10,100,0,4.5,99.0,14.5,0.0110315,4.16e-05,0.010777,3.1e-05,13642008.930000002,270523.44,34582.68000000001
344,oob,0.1,2,2,10,0,4.5,6.7,123.3,0.0750792,0.0058360999999999,0.074826,0.005829,923263.28,18301.46,2339.2
405,oob,0.001,100,100,1000,0,4.5,1327.0,12.1,0.0267092,0.0243279,0.0015869999999999,1.8e-05,309461210.9,954849.6,134484.9
405,oob,0.01,10,10,100,0,4.5,93.6,14.8,0.0364618,0.0247794,0.011339,0.00047,21832049.880000003,67359.33,9485.28
405,oob,0.1,2,2,10,0,4.5,6.0,127.9,0.0978174,0.0344629,0.072694,0.010153,1399347.3,4318.08,608.0400000000001
416,oob,0.001,100,100,1000,0,4.5,1060.0,12.0,0.040354,0.0389646,0.001138,2.2e-05,153440375.5,1498709.8,142855.1
416,oob,0.01,10,10,100,0,4.5,81.0,14.8,0.047954,0.0394476,0.008739,0.000504,11729263.32,114547.77,10922.04
416,oob,0.1,2,2,10,0,4.5,5.0,128.8,0.0989855,0.0489114,0.059769,0.00997,724028.6,7070.85,674.2
422,oob,0.001,100,100,1000,0,4.5,1030.0,12.0,0.041439,0.0401755,0.001039,3e-06,1037965763.5,1623246.1,144618.1
422,oob,0.01,10,10,100,0,4.5,81.0,14.9,0.0488636,0.0404839,0.008464,0.0003109999999999,81637694.37,127622.79,11384.55
